key,bits,method,time_ms,rel_to_full,rel_to_crt
N25,25,full,0.000955,1.000000,1.327541
N25,25,crt,0.000719,0.753273,1.000000
N25,25,crt+post_verify,0.000616,0.644849,0.856064
N25,25,crt+double,0.000890,0.931546,1.236665
N25,25,crt+exp_blind,0.000481,0.503229,0.668057
N25,25,crt+msg_blind,0.000970,1.015429,1.348024
N33,33,full,0.000512,1.000000,0.827076
N33,33,crt,0.000619,1.209079,1.000000
N33,33,crt+post_verify,0.000693,1.353726,1.119634
N33,33,crt+double,0.001317,2.571591,2.126901
N33,33,crt+exp_blind,0.000746,1.456720,1.204818
N33,33,crt+msg_blind,0.002991,5.839896,4.830036
N41,41,full,0.002821,1.000000,2.387768
N41,41,crt,0.001181,0.418801,1.000000
N41,41,crt+post_verify,0.001895,0.671719,1.603908
N41,41,crt+double,0.002003,0.710124,1.695612
N41,41,crt+exp_blind,0.001116,0.395758,0.944977
N41,41,crt+msg_blind,0.002563,0.908594,2.169512
N49,49,full,0.002773,1.000000,3.616739
N49,49,crt,0.000767,0.276492,1.000000
N49,49,crt+post_verify,0.001303,0.469796,1.699130
N49,49,crt+double,0.001481,0.534141,1.931848
N49,49,crt+exp_blind,0.000785,0.283134,1.024022
N49,49,crt+msg_blind,0.002037,0.734658,2.657065
N57,57,full,0.002216,1.000000,2.384381
N57,57,crt,0.000929,0.419396,1.000000
N57,57,crt+post_verify,0.001457,0.657692,1.568188
N57,57,crt+double,0.001865,0.841537,2.006545
N57,57,crt+exp_blind,0.000961,0.433460,1.033534
N57,57,crt+msg_blind,0.003780,1.705712,4.067067
N63,63,full,0.006836,1.000000,4.042279
N63,63,crt,0.001691,0.247385,1.000000
N63,63,crt+post_verify,0.003231,0.472694,1.910762
N63,63,crt+double,0.005655,0.827279,3.344092
N63,63,crt+exp_blind,0.002021,0.295694,1.195279
N63,63,crt+msg_blind,0.005781,0.845698,3.418547
